Учебное_заведение;Город;Число_поступающих;Средний_балл;Широта;Долгота;Расстояние;
МБОУ Академический лицей г. Томска имени Г.А. Псахье;Томск;2;69;56,4847036;84,9481737;0
Профессиональный колледж Штадтмитте города Мюльхайм ан дер Рур;Эссен;1;69;51,45657;7,01228;4847
МАОУ СОШ №4 Им. И.С.Черных;Томск;1;68;56,4847036;84,9481737;0
Физико-математическая школа 56 г.Улан-Удэ;Улан-Удэ;1;68;51,8334378;107,5841511;1552
МАОУ СОШ №160 Тайгинского городского округа Кемеровской области;Тайга;1;68;56,0622767;85,6207907;63
Средняя общеобразовательная школа № 4 им.И.С.Черных;Томск;1;68;56,4847036;84,9481737;0
МБОУ СОШ №55 г.Барнаула Алтайского края;Барнаул;1;68;53,3481145;83,7798362;356
Средняя общеобразовательная школа 12 г.Анжеро-Судженск;Анжеро-Судженск;1;68;56,0787179;86,0202207;80
МБОУ СОШ №15 Г.Кемерово;Кемерово;1;68;55,3909721;86,0467864;139
Средняя общеобразовательная школа 176 г.Зеленогорск;Зеленогорск;1;68;56,1133001;94,5888736;595
МАОУ КСОШ-ДС;Пыть-Ях;1;68;60,7585769;72,8366445;845
МАОУ Чаинского района Подгорнская СОШ села Подгорного Томской области;Подгорное;1;68;51,73504;39,14961;2972
МБОУ г. Новосибирска Гимназия №3 в Академгородке;Новосибирск;1;67;55,0281016;82,9210575;206
Муниципальное бюджетное общеобразовательное учреждение Средняя общеобразовательная школа посёлка Синегорье;Синегорье;1;67;62,08782;150,52162;3609
Средняя общеобразовательная школа 207 г.Новосибирск;Новосибирск;1;67;55,0281016;82,9210575;206
ГБОУ Открытая школа №88;Москва;1;67;55,75222;37,61556;2875
Средняя общеобразовательная школа 3 г.Куйбышева Новосибирской области;Куйбышев;1;67;55,4684104;78,3241042;427
Средняя общеобразовательная школа 149 г.Красноярск;Красноярск;1;67;56,009466;92,8524162;491
МБОУ СОШ № 1 п.г.т Жешарт Усть-Вымского района Республики Коми;Жешарт;1;67;62,07314;49,57335;2072
Бакчарская средняя общеобразовательная школа;Бакчар;1;67;57,01861;82,07111;185
Томский Физико-Технический лицей;Томск;2;67;56,4847036;84,9481737;0
МАОУ гимназия №56;Томск;2;67;56,4847036;84,9481737;0
Школа-лицей №6 г.Экибастуза Р.Казахстан;Экибастуз;1;67;51,72371;75,32287;819
МБОУ Шелеховского района Средняя общеобразовательная школа №2 города Шелехова;Шелехов;1;67;52,2102462;104,0973531;1323
Муниципальное автономное общеобразовательное учреждение Средняя общеобразовательная школа с углублённым изучением отдельных учебных предметов №124 г.Челябинска;Челябинск;1;66;55,1603659;61,4007858;1470
Средняя общеобразовательная школа № 49 г.Томска;Томск;1;66;56,4847036;84,9481737;0
Горнотехнический колледж г.Степногорска Р.Казахстан;Степногорск;2;66;52,35062;71,88161;960
МБОУ Русскую классическую гимназию №2 г. Томска;Томск;1;66;56,4847036;84,9481737;0
Итатская средняя общеобразовательная школа;Итатский;1;66;56,07;89,03694;256
МОАУ СОШ №1;Свободный;1;66;51,361264;128,1218995;2832
МБОУ Лицей №1;Салават;1;65;53,3616311;55,9245559;1871
МБОУ СОШ №64 города Новокузнецка Кемеровской области;Новокузнецк;1;65;53,7942757;87,2144046;332
Губернаторский многопрофильный лицей-интернат г.Кемерово;Кемерово;4;65;55,3909721;86,0467864;139
Лицей № 174 г.Зеленогорска;Зеленогорск;1;65;56,1133001;94,5888736;595
Анжеро-Судженский политехнический колледж;Анжеро-Судженск;14;65;56,0787179;86,0202207;80
МБОУ СОШ №19;Белово;1;65;54,4221442;86,3036438;245
МБОУ СОШ №11 посёлка Шерегеш.Таштагольского района.;Шерегеш;1;65;52,9209;87,9869;441
Лицей № 51 г.Томска;Томск;2;64;56,4847036;84,9481737;0
МБОУ СОШ №30;Белово;1;64;54,4221442;86,3036438;245
МОУ Средняя общеобразовательная школа№1;Заозерный;1;64;55,9617268;94,7091037;605
СУНЦ НГУ;Новосибирск;1;64;55,0281016;82,9210575;206
Средняя общеобразовательная школа 7 с углубленным изучением отдельных предметов г.Красноярска;Красноярск;1;64;56,009466;92,8524162;491
Молчановская муниципальная средняя (полная) общеобразовательная школа № 1;Молчаново;1;64;57,58167;83,76917;141
МБОУ Средняя школа №104 пос. Подгорный ЗАТО Железногорск Красноярского края;Подгорный;1;64;56,13946337;56,13946337;1763
МБОУ Лицей №1 г.Перми;Пермь;1;64;58,0103211;56,2341778;1721
Средняя общеобразовательная школа-гимназия №9;Павлодар;1;64;52,28333;76,96667;695
Губернаторский Светленский лицей;Светлый;1;63;54,6774051;20,1356625;3923
МБОУ Гимназия №5 города Кызыла Республики Тыва;Кызыл;1;63;51,7191542;94,4377234;813
Маргиланский строительный колледж;Маргилан;1;63;40,47237;71,72463;2021
МБОУ СОШ 26;Новокузнецк;1;63;53,7942757;87,2144046;332
Лицей 1 г.Киселевск;Киселевск;1;63;54,0060382;86,6367387;295
МАОУ Школа №3 ;Ачинск;1;63;56,2538662;90,47949;341
КГУ СОШ №6 г.Алтай;Алтай;1;63;48,30272;89,51557;960
Итатская средняя общеобразовательная школа;Томское;1;63;56,86205202;85,65882524;60
Гимназия 6 г.Томска;Томск;1;63;56,4847036;84,9481737;0
Средняя общеобразовательная школа 63 г.Улан-Удэ;Улан-Удэ;1;63;51,8334378;107,5841511;1552
п. Трудармейский ;Томск;1;63;56,4847036;84,9481737;0
Томский промышленно-гуманитарный колледж;Томск;2;63;56,4847036;84,9481737;0
МБОУ Гимназия г.Черногорска РХ;Черногорск;1;63;53,8258425;91,3259669;501
Специализированный учебно-научный центр - Университетский лицей г. Якутск;Якутск;1;63;62,0280273;129,7325717;2562
КГУ Общеобразовательная школа №2 акимата города Усть-Каменогорска;Усть-Каменогорск;1;62;49,97143;82,60586;740
Усятская средняя общеобразовательная школа;Усятское;1;62;52,56806;85,76085;438
Средняя школа № 1 города Хазар;Хазар;1;62;41,9974;48,33325;3053
Муниципальное бюджетное общеобразовательное учреждение Топановская средняя школа №16 имени Кокова Николая Николаевича;Топаново;1;62;51,5105;84,4813;554
МАОУ СОШ № 4 им. И.С. Черных г. Томска;Томск;1;62;56,4847036;84,9481737;0
МАОУ Спасская СОШ Томского района Томской области;Батурино;1;62;57,79069112;85,20988403;146
МБОУ СОШ 24 города Белово ;Бачатский;1;62;54,2927;86,1285;255
Общеобразовательная школа №6 акимата г. Сарани;Сарань;1;62;49,7908;72,83744;1095
Гимназия №4;Новосибирск;1;62;55,0281016;82,9210575;206
МАОУ Гимназия №87;Саратов;1;61;51,530376;45,9530257;2568
Муниципальное общеобразовательное учреждения Средняя общеобразовательная школа № 64 имени Б. Ручьева ;Магнитогорск;1;61;53,4071891;58,9791432;1682
Средняя общеобразовательная школа № 12 города Белово Кемеровской области;Белово;1;61;54,4221442;86,3036438;245
Белоярская средняя общеобразовательная школа № 2;Белый Яр;1;61;53,60389;91,39028;520
Муниципальная средняя (полная) общеобразовательная школа № 53 г.Томск;Томск;1;61;56,4847036;84,9481737;0
Государственный промышленно-гуманитарный колледж г.Томск;Томск;4;60;56,4847036;84,9481737;0
КГУ Средняя школа-лицей №127 им.Ш.Уалиханова Шиелийского районного отдела образования;Шиели;1;60;44,16882;66,73887;1871
МАОУ Лицей ИГУ г. Иркутска;Иркутск;1;60;52,2863513;104,280655;1330
ЧОУ Лесосибирская православная гимназия;Лесосибирск;1;60;58,2218201;92,5036986;492
Зарафшанский промышленный профессиональный колледж;Мурунтау;1;60;41,529677;64,601364;2210
Северский кадетский корпус;Северск;1;60;56,6031143;84,8809687;14
Муниципальная средняя (полная) общеобразовательная школа № 196 г.Северск;Северск;1;60;56,6031143;84,8809687;14
КГУ Гимназия № 120 имени Мажита Бегалина;Алматы;1;59;43,25667;76,92861;1576
МБОУ Северский лицейЗАТО Северск Томской области;Северск;1;58;56,6031143;84,8809687;14
Академическая гимназия 56;Санкт-Петербург;1;58;59,93863;30,31413;3129
Нелюбинская муниципальная средняя (полная) общеобразовательная школа;Нелюбино;1;58;56,58240245;84,57478045;25
МАОУ СОШ №35;Улан-Удэ;2;58;51,8334378;107,5841511;1552
Сибирский государственный медицинский университет;Томск;1;58;56,4847036;84,9481737;0
Томский медико-фармацевтический колледж при СГМУ;Томск;1;58;56,4847036;84,9481737;0
МАОУ Гимназия 33;Улан-Удэ;1;57;51,8334378;107,5841511;1552
Средняя общеобразовательная школа 49 г.Улан-Удэ;Улан-Удэ;1;57;51,8334378;107,5841511;1552
Шипуновскяа средняя общеобразовательная школа им.А.В.Луначарского;Шипуново;1;57;52,1582;82,2173;512
Средняя общеобразовательная школа 8 г.Новокузнецка;Новокузнецк;1;57;53,7942757;87,2144046;332
Средняя общеобразовательная школа 150 г.Красноярска;Красноярск;1;57;56,009466;92,8524162;491
МБОУ Ключевская средняя общеобразовательная школа №1 Ключевского района Алтайского края ;Барнаул;1;57;53,3481145;83,7798362;356
МАОУ Винзилинская СОШ;Винзили;1;57;56,95938;65,7708;1167
Краевое государственное бюджетное образовательное учреждение «Бийский лицей-интернат Алтайского края»;Бийск;1;56;52,5393683;85,2138852;439
Муниципальное бюджетное общеобразовательное учреждение Заларинская средняя общеобразовательная школа №1 р. п. Залари ;Залари;1;56;53,5584;102,5065;1161
Общеобразовательная средняя школа 22 г.Жезказган Р.Казахстан;Жезказган;1;56;47,78333;67,76667;1512
Муниципальная средняя (полная) общеобразовательная школа № 5 г.Колпашево;Колпашево;1;56;58,3114716;82,9027528;237
Средняя общеобразовательная школа №1 г.Свободного Амурской области;Свободный;1;56;51,361264;128,1218995;2832
МБОУ Гимназия № 16 Французская г. Новосибирска;Новосибирск;1;56;55,0281016;82,9210575;206
Улюнханская средняя общеобразовательная школа;Улюнхан;1;56;42,50163795;111,0837751;2418
Средняя общеобразовательная школа 9 г.Улан-Удэ;Улан-Удэ;1;56;51,8334378;107,5841511;1552
Средняя школа №18 г.Томска;Томск;1;56;56,4847036;84,9481737;0
Первомайская средняя общеобразовательная школа;Первомайское;1;55;43,91904;46,71019;3004
Средняя общеобразовательная школа № 88 имени А.Бородина и А.Кочева;Северск;1;55;56,6031143;84,8809687;14
Муниципальная средняя (полная) общеобразовательная школа № 87 г.Северск;Северск;1;55;56,6031143;84,8809687;14
КГБОУ Алтайский краевой педагогический лицей-интернат;Барнаул;1;55;53,3481145;83,7798362;356
МБОУ Лицей Сигма;Барнаул;1;55;53,3481145;83,7798362;356
Средняя общеобразовательная школа 37 г.Барнаул;Барнаул;1;54;53,3481145;83,7798362;356
Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа с.Киселевка Ульчского муниципального района Хабаровского края;Киселевка;1;54;57,33554285;82,15520921;194
МБОУ Гимназия №32;Новокузнецк;1;54;53,7942757;87,2144046;332
Средняя общеобразовательная школа №76;Новосибирск;1;54;55,0281016;82,9210575;206
Средняя школа №11 города Алтай;Алтай;1;53;48,30272;89,51557;960
Коммунальное государственное учреждение Гимназия №111;Алматы;1;53;43,25667;76,92861;1576
 Кемеровская область. г. Берёзовский. ул. 8 Марта. д.14;Березовский;1;53;55,6692853;86,2744636;122
 Кемеровская область. г. Берёзовский. ул. 8 Марта. д.14;Березовский;1;53;56,9096284;60,8180256;1465
КГУ Гимназия №1 города Темиртау;Темиртау;1;53;50,05494;72,96464;1067
Колледж индустрии питания. торговли и сферы услуг ОГБПОУ;Томск;1;53;56,4847036;84,9481737;0
МАОУ средняя общеобразовательная школа №32 г.Томска;Томск;1;53;56,4847036;84,9481737;0
Гимназия № 13 им. М. Горького;Худжанск;1;53;40,283611;69,623962;2115
МБОУ Средняя общеобразовательная школа № 14 имени К.С. Федоровского г. Юрги Кемеровской области РФ;Юрга;1;53;55,7202689;84,8885516;85
КГУ Средняя общеобразовательная школа №33 отдела образования акимата города Экибастуза;Экибастуз;1;53;51,72371;75,32287;819
